family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/adults-only-hotels-in-pattaya,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-penang,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-perth,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-petra,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-phuket,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-playa-del-carmen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-pokhara,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-porto,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-positano,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-prague,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-puerto-vallarta,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-quebec-city,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-queenstown,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-quito,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-reykjavik,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-rhodes,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-rio-de-janeiro,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-rome,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-salzburg,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-san-diego,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-san-francisco,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-san-juan,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-san-miguel-de-allende,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-san-sebastian,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-santiago,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-santorini,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-sapporo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-savannah,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-scottsdale,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-seattle,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-seoul,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-seville,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-shanghai,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-sharm-el-sheikh,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-siem-reap,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-singapore,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-sintra,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-sorrento,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-split,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-st-moritz,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-stockholm,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-strasbourg,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-sydney,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-taipei,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-tallinn,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-tel-aviv,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-texas-hill-country,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-tokyo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-toronto,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-tulum,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-udaipur,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-ushuaia,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-valencia,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-vancouver,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-varanasi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-venice,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-verona,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-victoria-falls,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-vienna,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-warsaw,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-washington-dc,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-wellington,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-wengen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-whistler,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-yogyakarta,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-zanzibar,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-zermatt,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-zurich,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-bali,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-boracay,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-cancun,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-cape-town,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-cinque-terre,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-crete,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-dubai,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-dubrovnik,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-el-nido,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-goa,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-honolulu,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-ibiza,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-koh-samui,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-lake-como,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-langkawi,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-mallorca,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-marrakech,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-maui,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-mykonos,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-nice,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-phuket,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-positano,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-santorini,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-sorrento,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-st-moritz,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-tulum,0,1,0,0,1
OTHER: hotels/all-inclusive-resorts-in-zanzibar,0,1,0,0,1
OTHER: hotels/business-hotels-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/business-hotels-in-agra,0,1,0,0,1
OTHER: hotels/business-hotels-in-amman,0,1,0,0,1
OTHER: hotels/business-hotels-in-amsterdam,0,1,0,0,1
OTHER: hotels/business-hotels-in-antwerp,0,1,0,0,1
OTHER: hotels/business-hotels-in-athens,0,1,0,0,1
OTHER: hotels/business-hotels-in-auckland,0,1,0,0,1
OTHER: hotels/business-hotels-in-austin,0,1,0,0,1
OTHER: hotels/business-hotels-in-bali,0,1,0,0,1
OTHER: hotels/business-hotels-in-banff,0,1,0,0,1
OTHER: hotels/business-hotels-in-bangkok,0,1,0,0,1
